Name,Sector,Expert_S,P_S,A_S,D_C_S,L_S,Q4_R,Q3_R,Q2_R,Q1_R,Q4_PBT,Q3_PBT,Q2_PBT,Q1_PBT,Q4_NP,Q3_NP,Q2_NP,Q1_NP,Y_R,Y_NP,NTA,Goodwill,Cash,Debt,TD,NA,CR,QR,Cash_Ratio,ROA,DTA,ATR,YNPM,Q1_NPM,Q2_NPM,Q3_NPM,Q4_NPM,CTR
klse: Bright Packaging Industry Bhd,Construction,4.8,2.2,6.43,5.36,5.06,13908,12966,12903,11027,-1465,709,-398,-383,-1165,708,-400,-383,50804,-1242,0.57,0,49680,40,10790,117680,8.35,6.95,5.29,-0.010554045,0.091689327,0.43171312,-2.444689395,-3.473292827,-3.100054251,5.460434984,-8.376473972,1.022624799
klse: Nestle (Malaysia) Bhd,Food and Beverages,3.4,2.5,0.01,3.62,7.33,1388423,1219300,1434514,1328892,170976,140140,246259,172173,128388,105533,186307,131819,5371129,552047,2.84,65400,16080,495710,2100000,631710,0.65,0.31,0.01,0.873893084,3.324310206,8.50252331,10.27804396,9.919466744,12.98746474,8.655212007,9.247037826,334.0254353
klse: ES Ceramics Technology Bhd,Industrial Specialties,4.5,2.9,2.26,4.88,8.06,15591,11940,8476,8950,4012,3202,-259,653,4011,3202,-259,653,44957,7607,0.26,1060,26780,656,4810,58900,5.58,4.23,3.24,0.129151104,0.081663837,0.76327674,16.92061303,7.296089385,-3.055686645,26.81742044,25.7263806,1.678752801
klse: Tan Chong Motor Holdings Bhd,Motor Trading,4.5,2.4,6.68,4.1,4.72,964543,512892,734287,974611,1722,-86330,199,22944,-7334,-79360,-9261,-1012,3186333,-106801,4.63,760,708860,1980000,2870000,2920000,1.4,0.58,0.22,-0.036575685,0.982876712,1.091209932,-3.351846778,-0.1038363,-1.261223473,-15.47304306,-0.760360088,4.495010298
klse: SEG International Bhd,Commercial Services,3.7,4.3,0.64,5.22,4.77,50734,49069,51976,58745,13612,10238,10489,10979,12242,8861,9343,10680,210524,41115,0.08,27520,92990,178060,255410,106160,0.76,0.76,0.49,0.387292766,2.40589676,1.98308214,19.52983983,18.18027066,17.97560412,18.05824451,24.1297749,2.263942359
klse: TSR Capital Bhd,Engineering,5.6,5.1,7.4,3.76,6.14,19045,25117,30545,37096,-526,18297,796,1019,-524,15763,796,1020,111803,17050,0.99,0,7470,65760,167710,172930,1.05,0.96,0.06,0.098594807,0.969814376,0.646521714,15.25003801,2.749622601,2.605991161,62.7582912,-2.751378315,14.9669344
klse: Pos Malaysia Bhd,Couriers,4.7,2.1,3.92,4.66,8.05,623027,606083,558525,559584,-10405,-14145,-47218,-190991,-7427,-19021,-49222,-171141,2347219,-246811,2.19,275510,366060,826090,1900000,1390000,1.04,1.04,0.25,-0.177561871,1.366906475,1.688646763,-10.51503929,-30.58361211,-8.812855288,-3.138349038,-1.192083168,6.4121155
klse: Oceancash Pacific Bhd,Textiles,5.1,4.2,4,5.42,6.67,21107,17121,20651,22209,994,108,1993,1828,912,259,1643,1435,81088,4249,0.4,0,16020,16800,28200,98980,2.92,2.23,0.92,0.042927864,0.284906042,0.819236209,5.239986188,6.4613445,7.956031185,1.512762105,4.320841427,5.061672909
klse: Straits Inter Logistics Bhd,Industrial Machinery,4.5,5.3,3.91,3.54,5.07,161217,75216,262363,203559,1266,1059,1773,3306,1052,319,1024,2067,702355,5378,0.17,30560,6660,60930,97550,112180,1.01,0.8,0.06,0.047940809,0.869584596,6.260964521,0.765709648,1.015430416,0.390298937,0.424111891,0.652536643,105.4587087
klse: Amcorp Properties Bhd,Engineering,5.8,4.6,7.69,7.6,3.45,37649,20868,36581,65554,7293,1060,-6148,15164,3550,-867,-23413,8472,160652,3048,1.43,0,324470,474640,567800,1350000,1.9,1.27,1.03,0.002257778,0.420592593,0.119001481,1.89726863,12.92369649,-64.00317105,-4.154686601,9.429201307,0.495121275
klse: Negri Sembilan Oil Palms Bhd,Agricultural Commodities,4.6,2.4,7.56,6.04,2.3,17178,16139,13441,11551,2176,4337,-497,-1927,1401,3273,-997,-717,58309,3000,7.77,0,141380,0,80070,541990,17.44,16.99,16.22,0.005535157,0.147733353,0.107583166,5.145003344,-6.207254783,-7.417602857,20.28006692,8.15578065,0.4124275
klse: Dancomech Holdings Bhd,Electronic Equipments,5.5,4.9,4.88,6.37,6.03,36708,19997,19689,19083,7354,4194,4047,4567,5650,3179,3099,3140,95477,15020,0.42,0,50760,11900,37940,135180,9.54,7.11,5.48,0.111111111,0.28066282,0.70629531,15.73153744,16.45443589,15.73975316,15.89738461,15.39174022,1.880949567
klse: Grand Central Enterprises Bhd,Hotels and Resorts,3.9,1.8,6.84,5.36,1.64,3871,738,3761,6838,-2218,-3975,-3292,-1810,-2170,-3923,-3239,-717,15208,-10187,1.08,0,49960,31,18260,206310,11,10.9,10.23,-0.049377151,0.088507586,0.073714313,-66.98448185,-10.48552208,-86.12071258,-531.5718157,-56.05786618,0.304403523
klse: Mesiniaga Bhd,Information Technology Services,3.5,1.8,4.14,4.47,3.72,51452,41834,45899,212396,-4188,-2810,1894,13852,-4314,-2922,1789,11356,351581,6170,1.89,840,26270,3860,57710,112970,1.46,1.4,0.92,0.05461627,0.510843587,3.112162521,1.754929874,5.346616697,3.897688403,-6.984749247,-8.384513722,13.38336506
klse: Salcon Bhd,Wholesale Distributors,5.1,2.3,5.63,4.5,7.99,60222,24523,47821,59457,-5237,1317,-4222,4367,-2028,2145,-6355,2208,192023,-3155,0.52,25490,124420,40170,125600,431070,4.06,2.87,1.13,-0.007318997,0.291367991,0.445456654,-1.643032345,3.713608154,-13.28914075,8.746890674,-3.367540102,1.543345121
klse: Zecon Bhd,Engineering,3.5,2.4,6.22,0.01,5.45,79290,40220,143102,153864,-5776,2625,15746,8457,-6286,-3437,9148,5062,416476,11711,1.8,0,27770,796630,1230000,256120,0.23,0.22,0.02,0.04572466,4.802436358,1.626097142,2.811926738,3.289918369,6.39264301,-8.545499751,-7.927859755,14.99733525
klse: Sinmah Capital Bhd,Agricultural Commodities,2.7,0.3,2.07,2.12,6.55,23459,36094,38308,36165,-5236,-7609,-2893,-6168,-5217,-7619,-2781,-2471,134026,-17838,0.45,3350,31190,86770,111160,85300,2.5,1.3,0.44,-0.20912075,1.303165299,1.57123095,-13.30935789,-6.83257293,-7.259580244,-21.10877154,-22.23879961,4.297082398
klse: Jasa Kita Bhd,Industrial Machinery,3.7,1.5,4.95,5.05,3.41,5676,3243,7010,7930,-307,-451,-1593,-838,-307,-451,-1413,-979,23859,-3150,0.14,340,30440,207,1800,64770,18.06,14.63,9.63,-0.048633627,0.027790644,0.368364984,-13.20256507,-12.34552333,-20.15691869,-13.90687635,-5.408738548,0.783804205
klse: Guan Chong Bhd,Food and Beverages,5,5.5,3.21,4.5,6.75,841587,910777,909382,796402,58454,71590,83410,61804,46779,56976,72165,44728,3458148,220648,0.94,44280,55670,714630,1060000,1130000,1.51,0.47,0.05,0.195263717,0.938053097,3.060307965,6.380525067,5.616259125,7.935609018,6.255757447,5.558427114,62.11869948
klse: IJM Plantations Bhd,Agricultural Commodities,4,3.3,4.07,3.67,5.13,211370,205985,195393,237812,-2430,115298,-73438,33303,-1040,82116,-76387,20063,850560,19896,1.35,0,267400,921650,1160000,1350000,1.64,1.28,1.03,0.014737778,0.859259259,0.630044444,2.339164786,8.436496056,-39.094031,39.86503872,-0.492028197,3.180852655
klse: IOI Corp. Bhd,Agricultural Commodities,4.5,3.3,2.7,4.49,7.52,2477200,2037600,2033900,1955200,360200,306200,52600,269300,277900,238300,100,213500,8503900,736800,1.48,420100,2390000,4970000,7130000,9300000,2.66,2.09,1.3,0.079225806,0.766666667,0.914397849,8.664259928,10.91959902,0.004916663,11.69513153,11.218311,3.558117155
klse: Sern Kou Resources Bhd,Home Furnishings,3.6,3.3,1.53,3.22,6.5,80667,77823,67067,76296,8264,4294,4278,6877,7149,1583,3035,6173,301853,17729,0.44,0,6890,74750,100170,110440,1.76,1.54,0.08,0.160530605,0.90700833,2.73318544,5.873388702,8.090856664,4.525325421,2.034103029,8.862360073,43.81030479
klse: Yoong Onn Corp. Bhd,Home Furnishings,7,7.2,8.04,8.3,4.33,59727,34511,50224,64791,7588,3927,5406,4735,5695,3032,4150,3530,209253,16407,1.46,0,70460,11350,22820,233730,11.06,6.08,4.11,0.07019638,0.097634022,0.895276601,7.840747803,5.448287571,8.262981841,8.78560459,9.535051149,2.96981266
klse: Fibon Bhd,Industrial Specialties,5,4.7,6.75,6,2.5,2817,2932,3392,3357,219,1170,469,802,173,779,298,537,12498,1787,0.51,880,31100,0,2530,50180,19.04,18.26,15.27,0.035611798,0.050418493,0.249063372,14.29828773,15.99642538,8.785377358,26.56889495,6.141285055,0.401864952
klse: GUH Holdings Bhd,Electronics,4.2,2.2,6.45,4.21,4.06,69830,47935,61860,81826,-24230,-621,-2873,-1430,-24675,-2935,-2984,-1639,261451,-32239,1.83,0,98190,60290,129140,504780,2.81,1.67,0.97,-0.063867427,0.255834225,0.517950394,-12.33080004,-2.003030821,-4.823795668,-6.122874726,-35.33581555,2.66270496
klse: AME Elite Consortium Bhd,Construction,5.1,4.8,4.58,4.63,6.37,120888,54724,98092,106086,17721,6620,20145,20668,11393,5323,14795,14833,379790,49381,1.48,0,210670,289970,464710,639200,3.36,1.56,0.97,0.07725438,0.727018148,0.594164581,13.00218542,13.9820523,15.08277943,9.726993641,9.424425915,1.802772108
klse: FoundPac Group Bhd,Semiconductor,4.3,3,1.61,5.14,7.36,12440,12415,11143,14532,4139,4758,4018,6619,3074,4215,3120,4646,50530,15846,0.18,12650,51140,219,7950,96010,12.67,11.96,9.28,0.165045308,0.082803875,0.526299344,31.35958836,31.97082301,27.99964103,33.95086589,24.71061093,0.988071959
klse: WTK Holdings Bhd,Forest Products,5,1.1,6.22,5.62,6.98,78100,78649,108337,137069,-133225,-16454,-19619,-57334,-133658,-16119,-19870,-74114,402155,-244593,2.06,16590,356530,225320,344050,949080,2.79,2.2,1.9,-0.257715893,0.362508956,0.423731403,-60.82057913,-54.07057759,-18.34091769,-20.4948569,-171.1370038,1.127969596
klse: CabNet Holdings Bhd,Engineering,4.5,4.4,4.91,5.19,3.42,11827,8038,12285,21748,169,-1101,-17,584,6,-898,-62,347,53898,-553,0.27,100,6610,11350,21710,47050,2.71,2.5,0.58,-0.011753454,0.461424017,1.14554729,-1.026012097,1.595549016,-0.504680505,-11.17193332,0.050731377,8.154009077
klse: KTG Berhad,Building Materials,4.3,1.9,5.22,4.24,5.99,2445,3192,2220,2773,-163,355,-1338,-1153,-203,298,-1351,-1162,10630,-2418,0.47,16650,16670,73,13250,109370,5.33,2.79,1.51,-0.022108439,0.121148395,0.097193015,-22.74694262,-41.90407501,-60.85585586,9.335839599,-8.302658487,0.637672466
klse: MTAG Group Bhd,Commercial Services,5.9,5,3.95,7.17,7.43,55265,29657,41582,45811,14403,6574,11156,13481,10796,5022,8128,10540,172315,34486,0.26,0,109730,111,21860,179740,9.26,7.92,5.73,0.191866029,0.121620118,0.95869033,20.01334765,23.0075746,19.54691934,16.93360758,19.53496788,1.570354507
klse: CN Asia Corp. Bhd,Miscellaneous Manufacturing,3.2,2,2.02,4.25,4.49,6835,2672,1890,3562,-602,-402,-2496,-98,-652,-449,-2543,-151,14959,-3795,0.89,0,27480,4300,7070,42090,7.51,6.67,5.54,-0.090163934,0.16797339,0.355405084,-25.36934287,-4.239191465,-134.5502646,-16.80389222,-9.539136796,0.544359534
klse: United U-Li Corp. Bhd,Miscellaneous Manufacturing,3.9,2.1,3.46,4.1,5.82,51110,17199,40007,53015,5653,-4462,-467,2243,5058,-4396,-560,-427,161331,-325,1.31,0,79490,34380,55570,280920,3.63,2.43,1.06,-0.001156913,0.197814324,0.574295173,-0.201449195,-0.805432425,-1.399755043,-25.55962556,9.896302094,2.029576047
klse: Muar Ban Lee Group Bhd,Industrial Machinery,5.5,5.8,5.06,6.36,5,50913,44077,37783,48907,4547,5386,2542,8714,2053,4103,1476,5310,181680,14887,1.38,23560,28810,12550,75420,145200,2.43,1.8,0.62,0.102527548,0.519421488,1.251239669,8.194077499,10.85734148,3.906518805,9.308709758,4.032368943,6.3061437
klse: Berjaya Food Bhd,Construction,2.3,3.3,1.13,0.68,4.19,180722,111566,158597,184121,16989,-28543,-763,13141,10372,-30161,-1385,8013,635006,-13575,0.94,460430,27170,669120,891250,333620,0.23,0.13,0.06,-0.040690007,2.671452551,1.903381092,-2.137775076,4.352029372,-0.873282597,-27.0342219,5.739201647,23.37158631
klse: Vitrox Corp. Bhd,Electronic Equipments,3.6,2.4,0.68,4.28,6.95,123748,96546,90291,95096,31521,23675,21941,17210,29714,22922,21065,17792,405681,91493,1.02,90,211320,47410,143850,513940,4.94,3.68,2.16,0.178022726,0.279896486,0.789354788,22.55294184,18.7095146,23.3301215,23.74205042,24.0117012,1.919747303
klse: Mi Technovation Bhd,Industrial Machinery,4.1,2.7,1.31,4.54,8.02,64276,61916,35243,68215,12312,18384,10335,17711,12323,18182,10298,17505,229650,58008,0.51,43870,135390,7010,65440,386240,6.52,5.5,3.4,0.150186413,0.169428335,0.5945785,25.25930764,25.6615114,29.21998695,29.36559209,19.17200821,1.696210946
klse: Bioalpha Holdings Bhd,Construction,4.1,2.4,2.71,3.97,7.41,6871,6392,6532,18413,-10441,-8199,-5305,3945,-9709,-7932,-5503,3033,38208,-21733,0.19,52800,15040,13090,28660,161620,7.32,6.36,1.13,-0.134469744,0.177329538,0.236406385,-56.88075796,16.47205779,-84.24678506,-124.0926158,-141.3040314,2.540425532
klse: APB Resources Bhd,Industrial Machinery,5,2.6,7.76,6.07,3.4,19456,14995,27124,27792,4818,-1387,727,558,3975,-1410,710,541,89367,3816,1.42,0,55800,1700,16460,156710,10.2,9.98,5.8,0.024350712,0.105034778,0.570269925,4.270032562,1.946603339,2.617608022,-9.403134378,20.43071546,1.60155914
klse: Esthetics International Group Bhd,Consumer Services,4,3.9,6.06,4.84,1.22,36690,22241,36146,49081,2227,-1986,-467,3999,43,-711,-93,2073,144158,1646,0.74,1460,58020,49630,97610,173790,1.81,1.27,0.94,0.009471201,0.561654871,0.829495368,1.141802744,4.223630325,-0.25728988,-3.196798705,0.117198147,2.484625991
klse: South Malaysia Industries Bhd,Property Developer,4.5,1.4,6.43,3.6,6.48,16686,6778,12302,18111,-720,-12025,-896,-3414,-731,-11535,-4206,-2940,53877,-16899,0.81,0,10560,21450,47100,155480,2.1,1.59,0.55,-0.10868922,0.302932853,0.346520453,-31.36588897,-16.23322842,-34.18956267,-170.1829448,-4.380918135,5.101988636
klse: OPCOM Holdings Bhd,Telecommunication Equipment,4,2.1,4.39,4.53,5.1,17621,7826,10567,10725,1189,-1256,-7492,-599,727,-752,-5943,-438,46739,-7856,0.51,0,18810,709,18340,81620,2.75,2.01,1.06,-0.096250919,0.224699828,0.572641509,-16.80823295,-4.083916084,-56.24112804,-9.608995656,4.125759038,2.484795322
klse: Lee Swee Kiat Group Bhd,Forest Products,4.2,4.2,2.04,5.67,4.77,29605,14669,21925,29216,4382,156,1378,4041,3841,152,1283,2891,95415,8113,0.35,6040,22050,10740,34830,56950,1.64,1.25,0.79,0.142458297,0.611589113,1.675417032,8.502855945,9.89526287,5.851767389,1.036198787,12.97415977,4.327210884
klse: Ho Hup Construction Co. Bhd,Engineering,7.2,9.8,8.46,5.07,5.33,68048,62972,80302,166525,18124,15926,23257,37224,11365,14077,15847,25968,377847,70655,1.05,19400,95280,443320,916450,459710,1.23,0.77,0.13,0.153694721,1.993539405,0.821924692,18.69936773,15.59405495,19.73425319,22.35437972,16.70144604,3.965648615
klse: Alcom Group Bhd,Aluminum,2.5,1.7,3.95,0.53,3.8,70744,54540,81485,100279,-1711,-4708,-1289,1364,-2137,-4303,-2318,-477,307048,-8711,0.91,3230,43950,179830,259370,115520,1.97,0.61,0.38,-0.075406856,2.24523892,2.657963989,-2.837015711,-0.475672873,-2.844695343,-7.889622296,-3.020750876,6.986302617
klse: EITA Resources Bhd,Electrical Products,5.1,5.3,4.18,6.11,4.83,78556,60065,75577,70022,6391,3459,7238,8141,4232,1812,5177,6073,284220,18321,1.42,1480,78350,52780,123160,184180,2.23,1.86,0.61,0.099473341,0.668693669,1.543164296,6.446062909,8.672988489,6.849967583,3.016731874,5.387239676,3.627568602
klse: IHH Healthcare Bhd,Ringgit,3.8,2.4,1.34,3.5,8.04,3518331,2565110,3555176,3836099,395969,-232032,-257357,195731,309952,-120642,-319786,40630,13474716,-249603,2.55,14080060,4590000,13920000,19770000,21250000,1.43,1.34,0.95,-0.011746024,0.930352941,0.634104282,-1.852380414,1.059148891,-8.99494146,-4.703190117,8.809631612,2.935667974
klse: Tri-Mode System M Bhd,Couriers,5.7,6.6,5.62,5.86,4.64,20467,18795,20921,22160,1734,1402,2771,1090,1157,1069,2046,740,82343,5012,0.43,0,15640,23530,38120,75070,2.17,2.17,1.18,0.066764353,0.507792727,1.096882909,6.086734756,3.339350181,9.779647244,5.687682894,5.653002394,5.264897698
klse: Pinehill Pacific Bhd,Property Developer,5.1,1.6,6.62,6,6.18,265,226,180,202,-2705,-36442,2679,-15282,-2102,-124,2914,-14014,873,-15238,1.43,0,126860,0,9710,213820,15.69,15.64,15.58,-0.07126555,0.045412029,0.004082873,-1745.475372,-6937.623762,1618.888889,-54.86725664,-793.2075472,0.006881602
klse: Sapura Energy Bhd,Oilfield Services,4.2,2.1,5.39,0.47,8.7,1328379,1219237,1356662,1111894,58983,53377,36191,-4266977,17205,23744,14207,-4234508,5016172,-4181670,0.57,5079250,731910,10570000,13730000,9440000,0.63,0.57,0.12,-0.442973517,1.454449153,0.531374153,-83.36376823,-380.837382,1.047202619,1.947447461,1.295187593,6.853536637
klse: Minetech Resources Bhd,Industrial Machinery,2.8,1.1,0.5,3.54,6.16,17824,9619,21686,19198,-1164,-2877,-11079,459,-1758,-2530,-11584,1180,68327,-16242,0.07,7680,30870,21350,58090,80350,1.47,1.3,0.36,-0.202140635,0.722962041,0.850367144,-23.77098365,6.146473591,-53.41695103,-26.30211041,-9.863105925,2.213378685
klse: Suria Capital Holdings Bhd,Property Developer,7,7.5,7.44,8.1,4.83,60983,46529,56940,70632,14810,8588,12859,16510,11928,5755,10538,10940,235084,39157,3.22,824180,114640,18630,233330,1130000,2.8,2.73,1.16,0.034652212,0.206486726,0.208038938,16.65659934,15.48873032,18.50720056,12.36863032,19.55954938,2.050628053
klse: Central Global Bhd,Office Equipments,2.1,2.4,2.28,3.73,0,35059,20035,29946,37611,49,-380,756,1534,87,-184,111,-84,122651,1023,0.53,20,13480,3920,36050,47910,2.27,1.79,0.52,0.021352536,0.752452515,2.560029221,0.834073917,-0.223338917,0.370667201,-0.918392813,0.248153113,9.098738872
klse: Engtex Group Bhd,Wholesale Distributors,4.5,2.5,6.48,3.39,5.57,289394,138176,243545,290567,13846,-7301,4739,2962,9324,-7343,2460,-3097,961682,933,1.58,0,67990,431860,519140,672250,1.66,0.81,0.14,0.001387877,0.772242469,1.430542209,0.097017517,-1.06584712,1.010080273,-5.314236915,3.221905084,14.14446242
klse: Gamuda Bhd,Engineering,5.4,4,4.74,4.97,7.73,763954,926517,549904,1090714,140815,82703,65089,219705,109283,-17340,40232,175173,3331089,359192,3.4,1377400,2590,5470000,9560,8540000,1.62,1.15,0.44,0.042059953,0.001119438,0.39005726,10.78302021,16.06039713,7.316186098,-1.871525293,14.30491888,1286.134749
klse: Hwa Tai Industries Bhd,Food and Beverages,3.2,3,3.37,2.15,4.17,17820,19163,17659,18790,131,474,143,129,216,175,143,327,73432,861,0.3,0,5710,21060,41900,22810,1.25,1.01,0.26,0.037746602,1.836913634,3.219289785,1.172513346,1.740287387,0.809785379,0.913218181,1.212121212,12.86024518
klse: Lotus KFM Bhd,Agricultural Commodities,3.2,2.8,0.6,4.23,5.25,14557,11760,14695,15167,329,3954,662,5115,195,3954,662,5115,55098,9927,0.08,0,34650,9540,21750,56860,0.33,0.18,0.05,0.174586704,0.382518466,0.969011607,18.01698791,33.72453353,4.504933651,33.62244898,1.339561723,1.59012987
klse: Malaysia Smelting Corp. Bhd,Metal Fabrication,2.6,2.2,1.68,1.93,4.7,230826,144645,205314,182732,17342,2152,-15769,-13674,12538,894,-13188,-13161,763517,-12920,0.93,840,43710,426050,520380,356070,1.58,0.24,0.1,-0.036285,1.461454208,2.144289044,-1.692169264,-7.202350984,-6.423332067,0.618064918,5.431797111,17.46778769
klse: DKLS Industries Bhd,Engineering,4.9,4.4,7.5,5.95,1.57,51599,26874,24582,43820,10124,4492,209,-6771,7399,3387,318,-7321,146875,4282,4.32,0,90600,52860,126230,407900,2.42,1.62,1.03,0.010497671,0.309463104,0.360075999,2.915404255,-16.70698311,1.293629485,12.60325966,14.33942518,1.621136865
klse: LBI Capital Bhd,Industrial Specialties,6.7,5.2,7.1,8.81,5.74,667,2279,3973,6409,-971,3178,-1625,-2029,-799,3066,-1803,-2428,13328,-1967,1.39,0,29600,3230,20750,142390,3.7,2.22,1.45,-0.013814172,0.145726526,0.093602079,-14.75840336,-37.88422531,-45.38132394,134.5326898,-119.7901049,0.45027027
klse: MNC Wireless Bhd,Marketing Services,4.3,1.5,4.49,4.99,6.1,7566,4397,4262,5685,-3403,-3254,379,1000,-3545,-3461,38,861,21910,-6107,0.07,2000,63020,1130,11340,77120,6.67,6.67,5.74,-0.079188278,0.147043568,0.284102697,-27.8731173,15.14511873,0.891600188,-78.7127587,-46.8543484,0.347667407
klse: Kwantas Corp. Bhd,Forest Products,4,2,4.99,2.88,6,259129,206201,219807,252729,8106,-6671,-11626,-6237,7042,-6641,-13397,-6229,937866,-20671,3.55,0,60920,478160,768350,1130000,0.44,0.21,0.12,-0.01829292,0.679955752,0.829969912,-2.204046207,-2.464695385,-6.094892337,-3.220643935,2.717565382,15.39504268
klse: Uzma Bhd,Oilfield Services,5.8,7.1,6.81,2.36,6.71,99605,151753,122958,149549,3293,-40978,10612,11864,1652,-45223,5436,6756,523865,-25283,1.37,196360,145840,592170,839030,457070,1.34,1.19,0.36,-0.055315378,1.835670685,1.146137353,-4.826243402,4.517582866,4.421021812,-29.80039933,1.658551278,3.592052935
klse: Tiger Synergy Bhd,Building Materials,4.5,2.1,6.08,3.89,5.77,752,64,324,890,-1380,-1101,-3137,-8100,-1380,-1101,-3137,-8140,2030,-13758,0.34,0,435,10860,14160,300690,13.75,4.14,0.18,-0.045754764,0.047091689,0.006751139,-677.7339901,-914.6067416,-968.2098765,-1720.3125,-183.5106383,4.666666667
klse: Tanco Holdings Bhd,Property Developer,3.7,1.3,5.22,2.98,5.22,663,660,568,1958,-1939,-6866,-3184,-1731,-1939,-7905,-3198,-1731,3849,-14773,0.13,0,4020,42800,113830,157540,1,0.1,0.06,-0.09377301,0.722546655,0.02443189,-383.8139777,-88.40653728,-563.028169,-1197.727273,-292.4585219,0.957462687
klse: UWC Bhd,Semiconductor,3.7,2.4,0.01,4.06,8.43,71500,61406,55796,54938,28657,22825,18031,16987,21708,18648,14593,13310,243640,68259,0.41,170,57810,7160,53670,223280,3.94,2.94,1.33,0.305710319,0.240370835,1.091185955,28.01633558,24.22731079,26.1542046,30.36836791,30.36083916,4.214495762
klse: Malaysian Pacific Industries Bhd,Semiconductor,4.6,3.3,2.47,5.01,7.71,440585,405451,376289,413763,73085,62454,34221,65480,55308,49045,22054,45097,1636088,201154,7.24,0,835230,35840,399040,1380000,3.33,3.01,2.28,0.145763768,0.28915942,1.185571014,12.29481544,10.89923459,5.860920728,12.09640622,12.5533098,1.958847264
klse: Wah Seong Corp. Bhd,Oilfield Services,3.3,2.8,3.89,0.47,5.86,453299,243115,326740,429250,-235416,-30512,-43256,-63831,-255826,-29636,-44426,-30593,1452404,-373575,1.27,151040,250420,1210000,1660000,914080,0.91,0.68,0.13,-0.408689611,1.816033608,1.588924383,-25.72114921,-7.12708212,-13.59674359,-12.19011579,-56.43648012,5.799872215
klse: Berjaya Sports Toto Bhd,Construction,4.2,5.8,1.77,2.69,6.34,1345864,475059,1333491,1408017,101447,-45478,74341,95394,67854,-43265,48611,61938,4562431,136442,0.55,691480,307770,1480000,2120000,737830,1.22,0.82,0.28,0.184923356,2.873290595,6.183580229,2.990554816,4.398952569,3.645393932,-9.107289831,5.0416684,14.82415765
klse: Sarawak Cable Bhd,Electrical Products,2,0.6,2.48,0.01,4.89,212749,110672,152695,217448,5997,-19830,2703,-70254,3436,-17768,550,-74897,693564,-88612,0.5,2510,45700,517840,761780,143610,0.75,0.53,0.13,-0.61703224,5.304505257,4.829496553,-12.77632634,-34.4436371,0.36019516,-16.05464797,1.615048719,15.17645514
klse: Solarvest Holdings Berhad,Industrial Products,3.6,3,0.21,3.73,7.38,62163,28750,51350,62120,5708,1286,2845,4834,4001,814,3814,3978,204383,13040,0.21,0,67340,27380,83810,81660,2,1.72,0.85,0.159686505,1.02632868,2.502853294,6.380178391,6.403734707,7.427458617,2.831304348,6.436304554,3.035090585
klse: Peterlabs Holdings Bhd,Pharmaceuticals,5.7,5.6,5.39,6.33,5.51,20149,19128,21777,24368,1793,1179,1322,1504,1228,764,911,1290,85422,4193,0.24,0,21280,7620,19600,54150,2.99,2.21,0.79,0.077433056,0.361957525,1.577506925,4.908571562,5.293827971,4.183312669,3.994144709,6.094595265,4.014191729
klse: Marco Holdings Bhd,Wholesale Distributors,6.7,6.6,7.64,7.38,5.19,44327,25879,30478,43325,6256,3456,3556,5954,4458,2475,2493,4924,144009,14350,0.19,670,97290,5520,14420,207960,12.51,9.53,7.52,0.069003655,0.069340258,0.692484132,9.964654987,11.36526255,8.179670582,9.563738939,10.05707582,1.480203515
klse: Mclean Technologies Bhd,Commercial Services,3.2,2.1,2.24,3.02,5.44,14596,12469,13712,15934,139,168,-939,-1559,878,306,-559,250,56711,-166,0.13,0,5440,10520,23670,26030,1.11,1.08,0.26,-0.006377257,0.909335382,2.178678448,-0.292712172,1.56897201,-4.07672112,2.454086134,6.01534667,10.42481618
klse: Fima Corp. Bhd,Commercial Services,6.1,5.2,6.91,8.96,3.2,60310,45869,70561,61197,11514,5196,-1404,4393,9240,2885,-1020,2687,237937,12197,2.29,510,199150,15480,67700,558810,8.08,7.05,3.99,0.021826739,0.121150302,0.425792309,5.126146837,4.390738108,-1.445557744,6.289650963,15.32084231,1.194762742
klse: Evergreen Fibreboard Bhd,Building Materials,5,1.8,5.79,3.87,8.65,226320,172921,227412,240807,3218,-8701,-11746,-18076,1461,-11081,-12152,-14463,867460,-35326,1.38,9660,116680,256370,414110,1120000,1.65,0.73,0.37,-0.031541071,0.369741071,0.774517857,-4.072349157,-6.006054641,-5.343605439,-6.408128567,0.645546129,7.434521769
